Flight,To,STD,Departed,Arrived,Duration,Terminal,Gate
QR945 QTR945, Doha (DOH / OTHH),02:00 UTC+08,01:56 UTC+08 ,05:08 UTC+03,8h 12m,1,D49
ET639 , Addis Ababa (ADD / HAAB),02:00 UTC+08,02:25 UTC+08 ,06:09 EAT,8h 44m,2,F33
3K779 , Angeles City (CRK / RPLC),02:20 UTC+08,02:27 UTC+08 ,06:06 PST,3h 39m,1,D30
JL38 JAL38, Tokyo (HND / RJTT),02:20 UTC+08,02:22 UTC+08 ,09:52 JST,6h 30m,1,C1
SQ402 SIA402, Delhi (DEL / VIDP),02:25 UTC+08,02:29 UTC+08 ,05:25 IST,5h 26m,3,A10
SQ334 , Paris (CDG / LFPG),02:30 UTC+08,02:37 UTC+08 ,09:36 CET,13h 59m,3,B6
SQ612 SIA612, Seoul (ICN / RKSI),02:30 UTC+08,02:34 UTC+08 ,09:38 KST,6h 4m,3,B3
6E42 IGO042, Kolkata (CCU / VECC),02:45 UTC+08,02:47 UTC+08 ,04:20 IST,4h 2m,2,E27
GX8968 CBG8968, Nanning (NNG / ZGNN),03:30 UTC+08,03:27 UTC+08 ,06:40 CST,3h 13m,4,G17
UQ2662 CUH2662, Wuhan (WUH / ZHHH),03:40 UTC+08,03:45 UTC+08 ,08:55 CST,5h 15m,4,G4
CZ8490 CSN8490, Guangzhou (CAN / ZGGG),03:55 UTC+08,03:49 UTC+08 ,07:55 CST,4h,1,C17
RX789 , Dhaka (DAC / VGHS),04:15 UTC+08,04:15 UTC+08,06:30 UTC+06,4h 15m,4,G2
6E1215 IGO1215, Delhi (DEL / VIDP),04:15 UTC+08,04:05 UTC+08 ,07:22 IST,5h 47m,2,E2
G828 , Bangalore (BLR / VOBL),04:20 UTC+08,04:20 UTC+08 ,07:21 IST,5h 31m,4,G6
JQ117 JST117, Denpasar (DPS / WADD),05:20 UTC+08,06:31 UTC+08 ,08:06 WITA,NULL,1,D40
TR100 TGW100, Guangzhou (CAN / ZGGG),05:30 UTC+08,05:29 UTC+08 ,09:30 CST,4h,1,C15
6E58 IGO58, Bangalore (BLR / VOBL),05:30 UTC+08,05:51 UTC+08 ,07:40 IST,4h 19m,2,F30
6E54 IGO054, Chennai (MAA / VOMM),05:50 UTC+08,05:53 UTC+08 ,07:10 IST,3h 46m,2,E27
MH602 , Kuala Lumpur (KUL / WMKK),06:00 UTC+08,05:58 UTC+08 ,07:10 UTC+08,1h 10m,2,F36
MI320 , Kuala Lumpur (KUL / WMKK),06:00 UTC+08,06:04 UTC+08 ,06:55 UTC+08,55m,2,F56
TR978 TGW978, Hong Kong (HKG / VHHH),06:05 UTC+08,06:06 UTC+08 ,09:59 HKT,3h 52m,1,C18
